title,isbn,price,url,published_at,publisher
Pythonではじめるオープンエンドな進化的アルゴリズ,978-4-8144-0000-3,"3,520",https://www.oreilly.co.jp/books/9784814400003/,2023-10-18,オライリー・ジャパン
マイクロサービスアーキテクチャ 第2版,978-4-8144-0001-0,"4,400",https://www.oreilly.co.jp/books/9784814400010/,2022-12-02,オライリー・ジャパン
マイクロフロントエンド,978-4-8144-0002-7,"3,740",https://www.oreilly.co.jp/books/9784814400027/,2022-10-25,オライリー・ジャパン
AIファースト・ヘルスケア,978-4-8144-0003-4,"2,640",https://www.oreilly.co.jp/books/9784814400034/,2022-09-14,オライリー・ジャパン
初めてのGo言語,978-4-8144-0004-1,"3,960",https://www.oreilly.co.jp/books/9784814400041/,2022-09-26,オライリー・ジャパン
UX戦略 第2版,978-4-8144-0005-8,"3,300",https://www.oreilly.co.jp/books/9784814400058/,2022-11-22,オライリー・ジャパン
ソフトウェアアーキテクチャ・ハードパーツ,978-4-8144-0006-5,"4,180",https://www.oreilly.co.jp/books/9784814400065/,2022-10-27,オライリー・ジャパン
詳解 システム・パフォーマンス 第2版,978-4-8144-0007-2,"6,600",https://www.oreilly.co.jp/books/9784814400072/,2023-01-24,オライリー・ジャパン
大規模データ管理,978-4-8144-0008-9,"3,960",https://www.oreilly.co.jp/books/9784814400089/,2022-12-02,オライリー・ジャパン
実践 Keycloak,978-4-8144-0009-6,"4,180",https://www.oreilly.co.jp/books/9784814400096/,2022-10-15,オライリー・ジャパン
ハンズオンWebAssembly,978-4-8144-0010-2,"4,180",https://www.oreilly.co.jp/books/9784814400102/,2022-10-12,オライリー・ジャパン
マスタリングLinuxシェルスクリプト 第2版,978-4-8144-0011-9,"3,300",https://www.oreilly.co.jp/books/9784814400119/,2022-12-12,オライリー・ジャパン
オブザーバビリティ・エンジニアリング,978-4-8144-0012-6,"3,960",https://www.oreilly.co.jp/books/9784814400126/,2023-01-27,オライリー・ジャパン
マスタリング・ライトニングネットワーク,978-4-8144-0014-0,"4,840",https://www.oreilly.co.jp/books/9784814400140/,2022-12-21,オライリー・ジャパン
すべてを電化せよ！,978-4-8144-0015-7,"2,860",https://www.oreilly.co.jp/books/9784814400157/,2023-07-26,オライリー・ジャパン
自分だけのボードゲームを作ろう,978-4-8144-0016-4,"2,640",https://www.oreilly.co.jp/books/9784814400164/,2022-12-27,オライリー・ジャパン
ロバストPython,978-4-8144-0017-1,"3,960",https://www.oreilly.co.jp/books/9784814400171/,2023-03-25,オライリー・ジャパン
C#クックブック,978-4-8144-0018-8,"3,960",https://www.oreilly.co.jp/books/9784814400188/,2023-02-03,オライリー・ジャパン
Pythonによるデータ分析入門 第3版,978-4-8144-0019-5,"4,400",https://www.oreilly.co.jp/books/9784814400195/,2023-08-12,オライリー・ジャパン
SQLではじめるデータ分析,978-4-8144-0020-1,"3,740",https://www.oreilly.co.jp/books/9784814400201/,2023-01-26,オライリー・ジャパン
入門 モダンLinux,978-4-8144-0021-8,"3,080",https://www.oreilly.co.jp/books/9784814400218/,2023-04-07,オライリー・ジャパン
プログラミング文体練習,978-4-8144-0022-5,"3,300",https://www.oreilly.co.jp/books/9784814400225/,2023-06-14,オライリー・ジャパン
Arduinoをはじめよう 第4版,978-4-8144-0023-2,"2,420",https://www.oreilly.co.jp/books/9784814400232/,2023-02-27,オライリー・ジャパン
ハッキングAPI,978-4-8144-0024-9,"4,400",https://www.oreilly.co.jp/books/9784814400249/,2023-03-27,オライリー・ジャパン
セキュアで信頼性のあるシステム構築,978-4-8144-0025-6,"5,280",https://www.oreilly.co.jp/books/9784814400256/,2023-06-06,オライリー・ジャパン
Running Lean 第3版,978-4-8144-0026-3,"3,300",https://www.oreilly.co.jp/books/9784814400263/,2023-07-05,オライリー・ジャパン
プログラミングPHP 第4版,978-4-8144-0027-0,"4,290",https://www.oreilly.co.jp/books/9784814400270/,2023-04-24,オライリー・ジャパン
ディープラーニング実践ガイド,978-4-8144-0028-7,"4,950",https://www.oreilly.co.jp/books/9784814400287/,2023-04-21,オライリー・ジャパン
ユウと魔法のプログラミング・ノート,978-4-8144-0029-4,"2,200",https://www.oreilly.co.jp/books/9784814400294/,2023-05-17,オライリー・ジャパン
機械学習による検索ランキング改善ガイド,978-4-8144-0030-0,"3,740",https://www.oreilly.co.jp/books/9784814400300/,2023-08-23,オライリー・ジャパン
ソフトウェア設計のトレードオフと誤り,978-4-8144-0031-7,"4,180",https://www.oreilly.co.jp/books/9784814400317/,2023-05-25,オライリー・ジャパン
Pythonによる地理空間データ分析,978-4-8144-0032-4,"3,740",https://www.oreilly.co.jp/books/9784814400324/,2023-09-20,オライリー・ジャパン
オブジェクト設計スタイルガイド,978-4-8144-0033-1,"3,520",https://www.oreilly.co.jp/books/9784814400331/,2023-07-07,オライリー・ジャパン
SLO サービスレベル目標,978-4-8144-0034-8,"4,400",https://www.oreilly.co.jp/books/9784814400348/,2023-07-11,オライリー・ジャパン
Scratchで遊んでわかる！中学数学,978-4-8144-0035-5,"2,530",https://www.oreilly.co.jp/books/9784814400355/,2023-12-04,オライリー・ジャパン
初めてのTypeScript,978-4-8144-0036-2,"3,740",https://www.oreilly.co.jp/books/9784814400362/,2023-06-16,オライリー・ジャパン
Pythonではじめるバイオインフォマティクス,978-4-8144-0037-9,"6,050",https://www.oreilly.co.jp/books/9784814400379/,2023-06-27,オライリー・ジャパン
コンピュータビジョンのための実践機械学習,978-4-8144-0038-6,"4,620",https://www.oreilly.co.jp/books/9784814400386/,2023-07-19,オライリー・ジャパン
RustとWebAssemblyによるゲーム開発,978-4-8144-0039-3,"4,290",https://www.oreilly.co.jp/books/9784814400393/,2023-07-19,オライリー・ジャパン
機械学習システムデザイン,978-4-8144-0040-9,"4,840",https://www.oreilly.co.jp/books/9784814400409/,2023-09-01,オライリー・ジャパン
ルールズ・オブ・プログラミング,978-4-8144-0041-6,"3,080",https://www.oreilly.co.jp/books/9784814400416/,2023-08-28,オライリー・ジャパン
ポートスキャナ自作ではじめるペネトレーションテスト,978-4-8144-0042-3,"3,190",https://www.oreilly.co.jp/books/9784814400423/,2023-09-20,オライリー・ジャパン
プロダクトマネージャーのしごと 第2版,978-4-8144-0043-0,"3,080",https://www.oreilly.co.jp/books/9784814400430/,2023-09-05,オライリー・ジャパン
かがくを料理する,978-4-8144-0044-7,"2,200",https://www.oreilly.co.jp/books/9784814400447/,2023-09-27,オライリー・ジャパン
C++ソフトウェア設計,978-4-8144-0045-4,"4,400",https://www.oreilly.co.jp/books/9784814400454/,2023-10-14,オライリー・ジャパン
Python Distilled,978-4-8144-0046-1,"3,960",https://www.oreilly.co.jp/books/9784814400461/,2023-10-14,オライリー・ジャパン
実践 メモリフォレンジック,978-4-8144-0047-8,"4,180",https://www.oreilly.co.jp/books/9784814400478/,2023-11-29,オライリー・ジャパン
Efficient Linuxコマンドライン,978-4-8144-0048-5,"3,300",https://www.oreilly.co.jp/books/9784814400485/,2023-12-01,オライリー・ジャパン
雑に作る,978-4-8144-0049-2,"2,640",https://www.oreilly.co.jp/books/9784814400492/,2023-10-24,オライリー・ジャパン
Raspberry Piクックブック 第4版,978-4-8144-0050-8,"4,290",https://www.oreilly.co.jp/books/9784814400508/,2024-01-31,オライリー・ジャパン
詳解 Rustアトミック操作とロック,978-4-8144-0051-5,"3,520",https://www.oreilly.co.jp/books/9784814400515/,2023-11-14,オライリー・ジャパン
詳解 Terraform 第3版,978-4-8144-0052-2,"4,180",https://www.oreilly.co.jp/books/9784814400522/,2023-11-21,オライリー・ジャパン
事例で学ぶ特徴量エンジニアリング,978-4-8144-0054-6,"3,960",https://www.oreilly.co.jp/books/9784814400546/,2023-12-26,オライリー・ジャパン
データ保護完全ガイド,978-4-8144-0055-3,"4,400",https://www.oreilly.co.jp/books/9784814400553/,2023-12-27,オライリー・ジャパン
入門 eBPF,978-4-8144-0056-0,"3,300",https://www.oreilly.co.jp/books/9784814400560/,2023-12-19,オライリー・ジャパン
Rustの練習帳,978-4-8144-0058-4,"3,960",https://www.oreilly.co.jp/books/9784814400584/,2024-01-18,オライリー・ジャパン
ソフトウェアアーキテクチャメトリクス,978-4-8144-0060-7,"3,300",https://www.oreilly.co.jp/books/9784814400607/,2024-01-24,オライリー・ジャパン
C++プログラミング入門 新版,978-4-87311-063-9,"3,080",https://www.oreilly.co.jp/books/9784873110639/,2001-11-01,オライリー・ジャパン
入門 vi 第6版,978-4-87311-083-7,"2,750",https://www.oreilly.co.jp/books/9784873110837/,2002-05-01,オライリー・ジャパン
C++実践プログラミング 第2版,978-4-87311-148-3,"6,380",https://www.oreilly.co.jp/books/9784873111483/,2003-09-01,オライリー・ジャパン
Postfix 実用ガイド,978-4-87311-195-7,"3,520",https://www.oreilly.co.jp/books/9784873111957/,2004-08-10,オライリー・ジャパン
入門 bash 第3版,978-4-87311-254-1,"3,080",https://www.oreilly.co.jp/books/9784873112541/,2005-10-27,オライリー・ジャパン
詳解 シェルスクリプト,978-4-87311-267-1,"3,080",https://www.oreilly.co.jp/books/9784873112671/,2006-01-27,オライリー・ジャパン
GNU Make 第3版,978-4-87311-269-5,"3,080",https://www.oreilly.co.jp/books/9784873112695/,2005-12-23,オライリー・ジャパン
Mind Hacks,978-4-87311-271-8,"3,080",https://www.oreilly.co.jp/books/9784873112718/,2005-12-17,オライリー・ジャパン
データベース実践講義,978-4-87311-275-6,"4,400",https://www.oreilly.co.jp/books/9784873112756/,2006-02-24,オライリー・ジャパン
Python クックブック 第2版,978-4-87311-276-3,"4,620",https://www.oreilly.co.jp/books/9784873112763/,2007-06-23,オライリー・ジャパン
Head First Java 第2版,978-4-87311-279-4,"4,400",https://www.oreilly.co.jp/books/9784873112794/,2006-03-24,オライリー・ジャパン
Binary Hacks,978-4-87311-288-6,"3,520",https://www.oreilly.co.jp/books/9784873112886/,2006-11-11,オライリー・ジャパン
アート・オブ・プロジェクトマネジメント,978-4-87311-299-2,"3,520",https://www.oreilly.co.jp/books/9784873112992/,2006-09-06,オライリー・ジャパン
エンジニアのための時間管理術,978-4-87311-307-4,"2,530",https://www.oreilly.co.jp/books/9784873113074/,2006-10-18,オライリー・ジャパン
802.11無線ネットワーク管理 第2版,978-4-87311-308-1,"5,500",https://www.oreilly.co.jp/books/9784873113081/,2006-11-18,オライリー・ジャパン
詳解 Linuxカーネル 第3版,978-4-87311-313-5,"7,260",https://www.oreilly.co.jp/books/9784873113135/,2007-02-23,オライリー・ジャパン
ネットワークセキュリティHacks 第2版,978-4-87311-327-2,"3,520",https://www.oreilly.co.jp/books/9784873113272/,2007-06-15,オライリー・ジャパン
実例で学ぶゲームAIプログラミング,978-4-87311-339-5,"4,180",https://www.oreilly.co.jp/books/9784873113395/,2007-09-26,オライリー・ジャパン
Excel Hacks 第2版,978-4-87311-347-0,"3,190",https://www.oreilly.co.jp/books/9784873113470/,2007-11-21,オライリー・ジャパン
RESTful Webサービス,978-4-87311-353-1,"4,180",https://www.oreilly.co.jp/books/9784873113531/,2007-12-19,オライリー・ジャパン
詳説 正規表現 第3版,978-4-87311-359-3,"5,280",https://www.oreilly.co.jp/books/9784873113593/,2008-04-26,オライリー・ジャパン
ハイパフォーマンスWebサイト,978-4-87311-361-6,"1,980",https://www.oreilly.co.jp/books/9784873113616/,2008-04-11,オライリー・ジャパン
Linuxシステムプログラミング,978-4-87311-362-3,"3,960",https://www.oreilly.co.jp/books/9784873113623/,2008-04-16,オライリー・ジャパン
集合知プログラミング,978-4-87311-364-7,"3,740",https://www.oreilly.co.jp/books/9784873113647/,2008-07-24,オライリー・ジャパン
初めてのRuby,978-4-87311-367-8,"2,420",https://www.oreilly.co.jp/books/9784873113678/,2008-06-25,オライリー・ジャパン
実例で学ぶゲーム3D数学,978-4-87311-377-7,"3,740",https://www.oreilly.co.jp/books/9784873113777/,2008-10-03,オライリー・ジャパン
Windows PowerShellクックブック,978-4-87311-382-1,"4,400",https://www.oreilly.co.jp/books/9784873113821/,2008-10-22,オライリー・ジャパン
JavaScript: The Good Parts,978-4-87311-391-3,"1,980",https://www.oreilly.co.jp/books/9784873113913/,2008-12-20,オライリー・ジャパン
初めてのPython 第3版,978-4-87311-393-7,"5,060",https://www.oreilly.co.jp/books/9784873113937/,2009-02-25,オライリー・ジャパン
プログラミング言語 Ruby,978-4-87311-394-4,"4,180",https://www.oreilly.co.jp/books/9784873113944/,2009-01-24,オライリー・ジャパン
リファクタリング・ウェットウェア,978-4-87311-403-3,"3,080",https://www.oreilly.co.jp/books/9784873114033/,2009-04-25,オライリー・ジャパン
エレガントな問題解決,978-4-87311-405-7,"3,520",https://www.oreilly.co.jp/books/9784873114057/,2010-12-25,オライリー・ジャパン
実践 デバッグ技法,978-4-87311-406-4,"3,080",https://www.oreilly.co.jp/books/9784873114064/,2009-06-06,オライリー・ジャパン
組み込みLinuxシステム構築 第2版,978-4-87311-422-4,"4,840",https://www.oreilly.co.jp/books/9784873114224/,2009-10-24,オライリー・ジャパン
並行コンピューティング技法,978-4-87311-435-4,"3,520",https://www.oreilly.co.jp/books/9784873114354/,2009-12-19,オライリー・ジャパン
実用 Git,978-4-87311-440-8,"3,080",https://www.oreilly.co.jp/books/9784873114408/,2010-02-18,オライリー・ジャパン
リバースエンジニアリング,978-4-87311-448-4,"3,520",https://www.oreilly.co.jp/books/9784873114484/,2010-05-21,オライリー・ジャパン
Mad Science,978-4-87311-454-5,"3,080",https://www.oreilly.co.jp/books/9784873114545/,2010-05-22,オライリー・ジャパン
アナライジング・マルウェア,978-4-87311-455-2,"3,300",https://www.oreilly.co.jp/books/9784873114552/,2010-12-18,オライリー・ジャパン
Head Firstデータ解析,978-4-87311-464-4,"3,520",https://www.oreilly.co.jp/books/9784873114644/,2010-07-09,オライリー・ジャパン
JavaによるRESTfulシステム構築,978-4-87311-467-5,"3,520",https://www.oreilly.co.jp/books/9784873114675/,2010-08-21,オライリー・ジャパン
jQueryクックブック,978-4-87311-468-2,"3,960",https://www.oreilly.co.jp/books/9784873114682/,2010-08-17,オライリー・ジャパン
入門 自然言語処理,978-4-87311-470-5,"4,180",https://www.oreilly.co.jp/books/9784873114705/,2010-11-10,オライリー・ジャパン
プログラマが知るべき97のこと,978-4-87311-479-8,"2,090",https://www.oreilly.co.jp/books/9784873114798/,2010-12-17,オライリー・ジャパン
JavaScriptパターン,978-4-87311-488-0,"3,080",https://www.oreilly.co.jp/books/9784873114880/,2011-02-15,オライリー・ジャパン
子どもが体験するべき50の危険なこと,978-4-87311-498-9,"2,200",https://www.oreilly.co.jp/books/9784873114989/,2011-05-25,オライリー・ジャパン
Being Geek,978-4-87311-499-6,"2,530",https://www.oreilly.co.jp/books/9784873114996/,2011-06-24,オライリー・ジャパン
ゲームストーミング,978-4-87311-505-4,"2,860",https://www.oreilly.co.jp/books/9784873115054/,2011-08-20,オライリー・ジャパン
